AS,Aguascalientes,1,1434635,2020 03 07,2020 3 22,2020 05 09
BC,Baja California,2,3634868,2020 03 09,2020 3 22,2020 04 30,2020 06 03
BS,Baja California Sur,2,804708,2020 03 13,2020 3 22,2020 04 29,2020 06 21
CC,Campeche,1,1000617,2020 03 08,2020 3 22,2020 03 27,2020 05 19
CS,Chiapas,1,5730367,2020 03 13,2020 3 22,2020 03 23,2020 05 07
CH,Chihuahua,1,3801487,2020 03 12,2020 3 22,2020 05 10
CL,Coahuila de Zaragoza,1,3218720,2020 02 27,2020 3 22,2020 05 14
CM,Colima,1,785153,2020 03 12,2020 3 22,2020 04 11,2020 05 27
DG,Durango,1,1868996,2020 03 06,2020 3 22,2020 03 24,2020 05 14
GT,Guanajuato,2,6228175,2020 03 10,2020 3 22,2020 05 22,2020 06 15
GR,Guerrero,1,3657048,2020 03 08,2020 3 22,2020 05 08
HG,Hidalgo,1,3086414,2020 03 07,2020 3 22,2020 05 07
JC,Jalisco,1,8409693,2020 03 01,2020 3 22,2020 05 12
MN,Michoacán de Ocampo,1,4825401,2020 03 09,2020 3 22,2020 05 24
MS,Morelos,1,2044058,2020 03 02,2020 3 22,2020 05 15
MC,México,1,4640934,2020 03 07,2020 3 22,2020 05 19
NT,Nayarit,1,1288571,2020 03 10,2020 3 22,2020 03 28,2020 05 11
NL,Nuevo León,1,5610153,2020 03 02,2020 3 22,2020 05 22
OC,Oaxaca,1,4143593,2020 03 09,2020 3 22,2020 05 09
PL,Puebla,1,6604451,2020 03 05,2020 3 22,2020 05 03
QT,Querétaro,1,2279637,2020 03 05,2020 3 22,2020 05 22
QR,Quintana Roo,1,1723259,2020 03 01,2020 3 22,2020 05 01,2020 06 09
SP,San Luis Potosí,1,2866142,2020 03 07,2020 3 22,2020 05 18
SL,Sinaloa,1,3156674,2020 03 01,2020 3 22,2020 04 29
SR,Sonora,1,3074745,2020 03 11,2020 3 22,2020 05 14
TC,Tabasco,2,2572287,2020 03 09,2020 3 22,2020 04 29,2020 06 04
TS,Tamaulipas,2,3650602,2020 03 13,2020 3 22,2020 05 08,2020 06 08
TL,Tlaxcala,1,1380011,2020 03 16,2020 3 22,2020 03 28,2020 05 18
VZ,Veracruz de Ignacio de la Llave,2,8539862,2020 03 03,2020 3 22,2020 05 10,2020 06 06
YN,Yucatán,2,2259098,2020 03 07,2020 3 22,2020 05 09,2020 06 04
ZS,Zacatecas,1,1666426,2020 03 09,2020 3 22,2020 05 17
12-01,Acapulco,2,919726,2020 03 11,2020 3 22,2020 05 07,2020 06 12
30-01,Acayucan,1,125569,2020 04 12,2020 3 22,2020 05 02
1-01,Aguascalientes,1,1143729,2020 03 07,2020 3 22,2020 05 13
4-01,Campeche,1,317424,2020 03 09,2020 3 22,2020 04 06,2020 05 10
23-01,Cancún,2,867768,2020 03 01,2020 3 22,2020 04 30,2020 06 10
11-01,Celaya,2,782248,2020 03 20,2020 3 22,2020 04 08,2020 06 14
23-02,Chetumal,1,265298,2020 03 25,2020 3 22,2020 04 10,2020 05 31
8-01,Chihuahua,1,994642,2020 03 12,2020 3 22,2020 03 27,2020 05 19
12-02,Chilpancingo,2,337254,2020 03 08,2020 3 22,2020 05 10,2020 06 04
28-01,Ciudad Victoria,1,367051,2020 03 22,2020 3 22,2020 04 11,2020 06 06
30-02,Coatzacoalcos,2,386847,2020 03 15,2020 3 22,2020 04 04,2020 05 24,2020 06 11
6-01,Colima-Villa de álvarez,1,399105,2020 03 12,2020 3 22,2020 04 23,2020 05 05
17-01,Cuautla,1,508800,2020 03 14,2020 3 22,2020 04 05,2020 05 10
17-02,Cuernavaca,1,1059521,2020 03 02,2020 3 22,2020 03 27,2020 05 10
25-01,Culiacán,2,962871,2020 03 01,2020 3 22,2020 04 29,2020 06 04
30-03,Córdoba,1,366119,2020 03 20,2020 3 22,2020 04 11,2020 05 13
8-02,Delicias,1,208487,2020 04 01,2020 3 22,2020 04 27,2020 06 11
10-01,Durango,1,695597,2020 03 06,2020 3 22,2020 04 18
2-01,Ensenada,1, 536143,2020 03 16,2020 3 22,2020 04 05,2020 05 11
14-01,Guadalajara,1,5243178,2020 03 01,2020 3 22,2020 03 30
11-02,Guanajuato,1,198035,2020 03 15,2020 3 22,2020 04 17,2020 05 29
26-01,Guaymas,1,231666,2020 03 11,2020 3 22,2020 04 24,2020 06 04
26-02,Hermosillo,1,946054,2020 03 11,2020 3 22,2020 03 24,2020 05 14
8-03,Hidalgo del Parral,1,123126,2020 04 16,2020 3 22,2020 05 09,2020 05 31
8-04,Juárez,1,1464930,2020 03 12,2020 3 22,2020 05 10
5-01,La Laguna,1,1462745,2020 02 27,2020 3 22,2020 3 30
3-01,La Paz,1,301961,2020 03 22,2020 3 22,2020 03 27,2020 05 16
16-01,La Piedad-Pénjamo,1,270353,2020 03 23,2020 3 22,2020 04 13,2020 05 31
11-03,León,1,1880630,2020 03 12,2020 3 22,2020 05 25
28-02,Matamoros,1,546115,2020 03 16,2020 3 22,2020 04 04,2020 04 26,2020 06 13
25-02,Mazatlán,1,533733,2020 03 16,2020 3 22,2020 04 03,2020 05 23
2-02,Mexicali,2,1087478,2020 03 11,2020 3 22,2020 04 29,2020 06 01
30-04,Minatitlán,2,400058,2020 04 01,2020 3 22,2020 04 11,2020 04 30,2020 06 10
5-02,Monclova-Frontera,1,395676,2020 03 16,2020 3 22,2020 05 19
19-01,Monterrey,1,5133917,2020 03 02,2020 3 22,2020 05 22
16-02,Morelia,1,967890,2020 03 09,2020 3 22,2020 03 30
11-04,Moroleón-Uriangato,0,121562,2020 04 02,2020 3 22,2020 04 20
31-01,Mérida,2,1237697,2020 03 07,2020 3 22,2020 05 05,2020 06 04
26-03,Nogales,1,253486,2020 03 27,2020 3 22,2020 04 19,2020 05 21
28-03,Nuevo Laredo,1,421295,2020 03 24,2020 3 22,2020 04 07
20-01,Oaxaca,1,698811,2020 03 09,2020 3 22,2020 03 23,2020 05 13
14-02,Ocotlán,1,187754,2020 03 30,2020 3 22,2020 04 15,2020 05 27
30-05,Orizaba,1,484061,2020 03 18,2020 3 22,2020 04 15,2020 05 14
13-01,Pachuca,2,608131,2020 03 07,2020 3 22,2020 05 05,2020 06 21
5-03,Piedras Negras,1,210356,2020 03 21,2020 3 22,2020 04 03
30-06,Poza Rica,1,570057,2020 03 18,2020 3 22,2020 04 08,2020 05 20
21-01,Puebla-Tlaxcala,1, 6604451,2020 03 05,2020 3 22,2020 04 29
14-03,Puerto Vallarta,1,473944,2020 03 13,2020 3 22,2020 04 01,2020 05 14
22-01,Querétaro,1,1478201,2020 03 05,2020 3 22,2020 04 26
28-04,Reynosa,1,819876,2020 03 16,2020 3 22,2020 06 02
24-01,Rioverde,1,146509,2020 03 31,2020 3 22,2020 05 06 10
5-04,Saltillo,1,997913,2020 03 04,2020 3 22,2020 03 23,2020 03 30
11-05,San Francisco del Rincón,1,211916,2020 04 27,2020 3 22,2020 05 29
24-02,San Luis Potosí,1,1226690,2020 03 07,2020 3 22,2020 05 14
28-05,Tampico,1,980454,2020 03 13,2020 3 22,2020 03 27,2020 05 10
7-01,Tapachula,1,384312,2020 03 20,2020 3 22,2020 04 16,2020 05 29
6-02,Tecomán,0,166994,2020 04 20,2020 3 22,2020 05 12
21-02,Tehuacán,1,366253,2020 03 16,2020 3 22,2020 04 22,2020 06 06
20-02,Tehuantepec,1,187666,2020 04 17,2020 3 22,2020 04 30,2020 06 06
18-01,Tepic,1,507927,2020 03 10,2020 3 22,2020 04 05,2020 05 14
21-03,Teziutlán,0,141150,2020 03 17,2020 3 22,2020 05 06
15-01,Tianguistenco,1,183164,2020 03 17,2020 3 22,2020 04 10,2020 05 19
2-03,Tijuana,2,2011247,2020 03 09,2020 3 22,2020 04 29,2020 06 01
29-01,Tlaxcala-Apizaco,1,586707,2020 03 16,2020 3 22,2020 03 29,2020 04 28
15-02,Toluca,1,2377828,2020 03 07,2020 3 22,2020 05 10
13-02,Tula,1,243558,2020 03 18,2020 3 22,2020 04 13,2020 05 05
13-03,Tulancingo,1,272083,2020 03 19,2020 3 22,2020 04 20,2020 05 22
7-02,Tuxtla Gutiérrez,1,900234,2020 03 14,2020 3 22,2020 03 25,2020 05 08
9-01,Valle de México,2,21942666,2020 02 27,2020 3 22,2020 4 3,2020 5 10,2020 06 3
30-07,Veracruz,2,956463,2020 03 03,2020 3 22,2020 05 09,2020 06 05
27-01,Villahermosa,2,888867,2020 03 09,2020 3 22,2020 04 29,2020 06 04
30-08,Xalapa,1,817501,2020 03 20,2020 3 22,2020 04 07,2020 05 19
32-01,Zacatecas-Guadalupe,1,399055,2020 03 09,2020 3 22,2020 04 06,2020 05 18
16-03,Zamora,1,280654,2020 04 10,2020 3 22,2020 04 27,2020 06 05
