fecha,camasServicioHG,camasServicioNoUCIVentiladores,camasServicioUCI,camasServicioUCI_NoUCIVent,camasOcupadasHG,camasOcupadasNoUCIVentiladores,camasOcupadasUCI,camasOcupadasUCI_NoUCIVent
2020-04-01,0,0,0,0,0,0,0,0
2020-04-02,0,0,0,0,0,0,0,0
2020-04-03,0,0,0,0,0,0,0,0
2020-04-04,0,0,0,0,0,0,0,0
2020-04-05,0,0,0,0,0,0,0,0
2020-04-06,0,0,0,0,0,0,0,0
2020-04-07,56,2,53,55,1,-1,1,0
2020-04-08,84,86,154,240,12,2,2,4
2020-04-09,78,176,205,381,60,39,4,43
2020-04-10,84,181,219,400,59,40,5,45
2020-04-11,88,180,234,414,58,46,5,51
2020-04-12,94,174,222,396,64,42,5,47
2020-04-13,99,171,237,408,70,33,13,46
2020-04-14,31,149,202,351,5,45,5,50
2020-04-15,54,111,220,331,29,31,5,36
2020-04-16,51,103,223,326,27,22,6,28
2020-04-17,58,103,224,327,34,24,6,30
2020-04-18,58,104,223,327,34,31,7,38
2020-04-19,61,99,219,318,38,27,7,34
2020-04-20,69,104,218,322,45,29,7,36
2020-04-21,72,127,259,386,50,20,8,28
2020-04-22,91,125,302,427,65,18,9,27
2020-04-23,91,124,300,424,64,16,9,25
2020-04-24,65,90,246,336,38,4,9,13
2020-04-25,107,123,298,421,82,18,12,30
2020-04-26,111,128,295,423,86,21,13,34
2020-04-27,124,129,291,420,99,25,13,38
2020-04-28,123,90,321,411,103,31,11,42
2020-04-29,156,87,377,464,136,29,13,42
2020-04-30,172,87,377,464,157,31,14,45
2020-05-01,182,93,373,466,167,38,13,51
2020-05-02,184,96,374,470,170,38,15,53
2020-05-03,199,97,371,468,184,42,16,58
2020-05-04,199,96,289,385,185,39,17,56
2020-05-05,205,100,281,381,188,46,14,60
2020-05-06,207,107,282,389,192,46,16,62
2020-05-07,204,107,281,388,189,51,16,67
2020-05-08,209,107,282,389,193,57,16,73
2020-05-09,212,107,291,398,197,59,17,76
2020-05-10,206,107,294,401,192,56,18,74
2020-05-11,263,122,312,434,248,68,28,96
2020-05-12,296,139,346,485,270,71,30,101
2020-05-13,285,137,311,448,264,76,30,106
2020-05-14,303,141,303,444,283,78,32,110
2020-05-15,314,149,314,463,294,90,32,122
2020-05-16,304,149,285,434,290,98,27,125
2020-05-17,273,125,282,407,250,78,16,94
2020-05-18,340,156,303,459,319,97,29,126
2020-05-19,345,157,314,471,322,100,29,129
2020-05-20,331,161,253,414,308,104,26,130
2020-05-21,317,158,223,381,302,107,28,135
2020-05-22,321,159,243,402,300,111,27,138
2020-05-23,318,165,273,438,302,107,27,134
2020-05-24,276,136,234,370,261,83,18,101
2020-05-25,349,163,259,422,331,107,28,135
2020-05-26,361,161,247,408,343,110,27,137
2020-05-27,342,146,220,366,334,113,32,145
2020-05-28,363,146,219,365,333,110,31,141
2020-05-29,365,150,194,344,341,101,38,139
2020-05-30,359,148,191,339,332,107,35,142
2020-05-31,373,153,206,359,349,100,39,139
2020-06-01,368,154,212,366,347,104,38,142
2020-06-02,402,145,221,366,383,97,45,142
2020-06-03,419,148,208,356,399,99,48,147
2020-06-04,397,143,230,373,380,97,48,145
2020-06-05,404,149,236,385,384,99,44,143
2020-06-06,408,142,171,313,395,95,47,142
2020-06-07,414,151,215,366,401,107,50,157
2020-06-08,377,106,187,293,362,62,37,99
2020-06-09,422,158,200,358,406,111,48,159
2020-06-10,436,152,168,320,420,105,46,151
2020-06-11,423,152,174,326,407,104,46,150
2020-06-12,415,137,197,334,402,87,50,137
2020-06-13,386,143,152,295,378,107,50,157
2020-06-14,391,140,222,362,382,99,56,155
2020-06-15,397,149,201,350,385,107,53,160
2020-06-16,392,160,190,350,379,119,49,168
2020-06-17,398,164,185,349,391,114,56,170
2020-06-18,388,172,185,357,382,118,57,175
2020-06-19,393,157,189,346,386,104,57,161
2020-06-20,369,106,151,257,363,58,44,102
2020-06-21,418,141,162,303,411,98,56,154
2020-06-22,419,150,181,331,406,102,54,156
2020-06-23,413,154,159,313,396,104,49,153
2020-06-24,396,147,173,320,383,102,48,150
2020-06-25,377,160,190,350,368,114,52,166
2020-06-26,353,170,171,341,345,122,54,176
2020-06-27,316,114,184,298,308,77,43,120
2020-06-28,331,120,173,293,322,77,42,119
2020-06-29,408,154,148,302,396,107,50,157
2020-06-30,424,138,276,414,412,79,66,145
2020-07-01,409,150,137,287,390,102,50,152
2020-07-02,404,146,169,315,388,91,52,143
2020-07-03,400,150,265,415,381,96,50,146
2020-07-04,349,110,154,264,329,65,36,101
2020-07-05,428,140,164,304,410,85,51,136
2020-07-06,427,139,167,306,409,78,55,133
2020-07-07,416,141,174,315,399,80,56,136
2020-07-08,389,149,170,319,373,90,55,145
2020-07-09,400,138,190,328,381,85,53,138
