fecha,camasServicioHG,camasServicioNoUCIVentiladores,camasServicioUCI,camasServicioUCI_NoUCIVent,camasOcupadasHG,camasOcupadasNoUCIVentiladores,camasOcupadasUCI,camasOcupadasUCI_NoUCIVent
2020-04-01,0,0,0,0,0,0,0,0
2020-04-02,0,0,0,0,0,0,0,0
2020-04-03,0,0,0,0,0,0,0,0
2020-04-04,0,0,0,0,0,0,0,0
2020-04-05,0,0,0,0,0,0,0,0
2020-04-06,0,0,0,0,0,0,0,0
2020-04-07,54,8,46,54,2,2,0,2
2020-04-08,68,26,63,89,8,-1,1,0
2020-04-09,24,39,61,100,9,0,0,0
2020-04-10,27,39,59,98,13,0,1,1
2020-04-11,29,38,60,98,15,1,2,3
2020-04-12,32,39,57,96,19,2,2,4
2020-04-13,30,37,60,97,19,-1,5,4
2020-04-14,32,34,60,94,20,-2,5,3
2020-04-15,31,34,59,93,20,-2,5,3
2020-04-16,31,35,59,94,20,-2,5,3
2020-04-17,34,33,55,88,23,-1,4,3
2020-04-18,26,31,63,94,16,-1,5,4
2020-04-19,32,32,62,94,25,-3,8,5
2020-04-20,26,33,65,98,18,0,7,7
2020-04-21,22,50,66,116,19,-2,8,6
2020-04-22,22,34,73,107,15,0,6,6
2020-04-23,38,38,302,340,31,2,5,7
2020-04-24,39,37,302,339,33,1,7,8
2020-04-25,41,36,303,339,35,0,7,7
2020-04-26,51,36,302,338,41,0,7,7
2020-04-27,59,41,299,340,48,5,10,15
2020-04-28,65,24,292,316,58,4,5,9
2020-04-29,153,36,309,345,140,2,15,17
2020-04-30,157,35,309,344,143,1,14,15
2020-05-01,159,37,309,346,144,3,13,16
2020-05-02,162,35,310,345,148,1,14,15
2020-05-03,152,40,318,358,140,4,16,20
2020-05-04,141,37,320,357,129,2,16,18
2020-05-05,151,39,320,359,140,3,17,20
2020-05-06,166,40,318,358,154,4,16,20
2020-05-07,156,43,324,367,146,5,18,23
2020-05-08,137,40,326,366,127,3,18,21
2020-05-09,176,38,319,357,165,1,17,18
2020-05-10,174,39,310,349,162,2,16,18
2020-05-11,171,41,319,360,159,0,16,16
2020-05-12,171,47,319,366,160,3,17,20
2020-05-13,176,48,318,366,162,-1,15,14
2020-05-14,166,37,334,371,158,-1,16,15
2020-05-15,173,60,327,387,162,0,17,17
2020-05-16,166,56,325,381,157,-2,19,17
2020-05-17,162,59,324,383,153,2,19,21
2020-05-18,176,48,327,375,164,0,16,16
2020-05-19,180,51,322,373,166,-1,14,13
2020-05-20,188,51,328,379,175,-2,15,13
2020-05-21,171,53,329,382,158,-1,15,14
2020-05-22,164,51,331,382,152,1,16,17
2020-05-23,139,55,337,392,128,8,17,25
2020-05-24,127,52,339,391,117,5,18,23
2020-05-25,135,56,332,388,124,8,17,25
2020-05-26,134,55,332,387,123,7,17,24
2020-05-27,138,54,121,175,129,8,19,27
2020-05-28,152,51,141,192,137,4,19,23
2020-05-29,143,56,118,174,127,8,18,26
2020-05-30,143,54,119,173,126,15,17,32
2020-05-31,162,53,101,154,152,6,18,24
2020-06-01,179,52,119,171,161,5,20,25
2020-06-02,171,52,118,170,160,9,23,32
2020-06-03,178,52,116,168,164,9,24,33
2020-06-04,167,53,124,177,152,13,23,36
2020-06-05,167,49,116,165,151,11,22,33
2020-06-06,170,55,121,176,155,13,19,32
2020-06-07,162,58,117,175,144,15,20,35
2020-06-08,179,58,116,174,161,16,20,36
2020-06-09,162,42,162,204,134,11,20,31
2020-06-10,168,42,153,195,141,9,21,30
2020-06-11,164,43,157,200,137,12,21,33
2020-06-12,144,53,150,203,131,13,15,28
2020-06-13,148,42,158,200,119,14,23,37
2020-06-14,147,41,161,202,124,9,25,34
2020-06-15,170,41,165,206,147,5,28,33
2020-06-16,186,34,145,179,164,1,29,30
2020-06-17,150,55,137,192,142,9,20,29
2020-06-18,164,41,165,206,142,7,28,35
2020-06-19,165,45,169,214,141,15,26,41
2020-06-20,157,43,171,214,130,11,23,34
2020-06-21,166,38,175,213,139,12,23,35
2020-06-22,155,45,186,231,128,11,24,35
2020-06-23,142,45,155,200,117,10,15,25
2020-06-24,149,44,182,226,119,10,20,30
2020-06-25,164,50,169,219,130,9,19,28
2020-06-26,161,50,163,213,133,7,22,29
2020-06-27,116,53,165,218,89,14,23,37
2020-06-28,137,52,185,237,110,10,23,33
2020-06-29,164,51,221,272,107,9,23,32
2020-06-30,156,51,225,276,100,10,24,34
2020-07-01,149,50,246,296,93,7,24,31
2020-07-02,147,54,234,288,88,8,21,29
2020-07-03,151,58,239,297,90,14,19,33
2020-07-04,138,52,255,307,77,14,19,33
2020-07-05,129,49,264,313,73,9,24,33
2020-07-06,128,55,249,304,71,13,23,36
2020-07-07,144,51,245,296,80,9,25,34
2020-07-08,143,54,233,287,84,14,21,35
2020-07-09,145,39,255,294,82,15,17,32
